mass,recclass,year,reclat,reclong
1161,H6,1884,29.583330,76.000000
2085,H6,1930,30.700000,-96.116670
39,L5,1723,50.533330,14.116670
96,L6,1868,11.583330,104.916670
3000,L5,1819,50.933330,12.133330
350,H5,1866,26.716670,82.666670
71400,H6,1998,34.175000,-103.295000
2125,L6,1932,48.302500,13.940830
5555,H5,1959,49.666670,14.033330
900,L6,1893,39.116670,-83.850000
560,H5,1863,23.366670,75.183330
250000,H5,1868,52.766670,21.266670
300000,L6,1937,-29.033330,-53.050000
7000,H6,1925,-30.116670,28.700000
6045,H4,1857,17.766670,95.183330
65,L6,1851,46.600000,0.250000
5000,H5,1957,-26.666670,-65.450000
67225,L5,1983,28.225000,70.200000
9000,L6,1878,52.983330,37.033330
3766,L6,1940,26.450000,82.900000
4682,L6,1958,51.883330,6.933330
290.39999999999998,H4,1917,23.983330,87.083330
300,H5,1899,19.866670,-100.816670
3224.5,L6,1937,25.383330,72.016670
4910,L6,1919,38.200000,115.700000
6.1,H6,1961,26.666670,50.150000
18.41,H5,2007,38.137420,-119.758120
17300,L5,1947,42.475000,-5.333330
300,L5,1925,-32.750000,-65.283330
355,L6,1916,38.666670,116.133330
3332,L6,1929,28.200000,76.666670
668,L6,1903,35.033330,-83.033330
90000,H5,1918,46.883330,-102.316670
1800,LL5,1828,37.466670,-77.500000
1310,L4,1934,-26.100000,-49.800000
340,H6,1876,41.083330,-86.283330
10600,H5,1921,44.516670,-83.950000
465.5,L6,1976,-1.450000,29.833330
13000,L5,1914,51.133330,34.500000
1250,H5,1855,27.433330,82.083330
478,LL6,1999,23.083330,91.666670
271000,LL6,1966,45.300000,0.233330
61.4,L6,1981,44.979170,-122.969440
9000,L5,1798,46.050000,4.633330
43,LL5,1985,52.750000,11.050000
56,H6,1973,33.484720,-117.662500
237,L6,2002,43.666670,13.000000
282,L6,1956,-31.016670,-71.400000
460,LL6,1968,19.766670,-100.650000
400,L4,1873,-29.200000,-51.866670
5500,L6,1924,-33.900000,-61.700000
4000,L6,2008,-31.535556,-68.489444
927,H4,1962,-20.810000,-49.380560
200000,L4,1918,52.550000,46.550000
4000,L6,1868,43.150000,-0.850000
412,L5,1934,49.233330,17.566670
283.3,H5,1968,42.860830,-73.950280
8000,L6,1846,48.116670,10.466670
5400,H5,1871,44.366670,-69.200000
240,L6,1917,38.300000,27.133330
6930,LL6,1853,26.750000,84.783330
1590,H5,1939,-7.233330,107.333330
150,H5,1947,22.833330,4.983330
4000,H4,1773,41.716670,-0.050000
866,H6,1993,39.438330,140.511670
20000,H6,1966,21.683890,79.500830
8500,H4,1818,41.050000,23.566670
350,H4,1908,-19.466670,-44.216670
101000,L5,1874,50.616670,36.600000
7000,L6,1989,34.750000,10.716670
18600,L5,1904,44.050000,-80.166670
605,L6,1976,33.650000,120.066670
3679.7,L6,1921,25.850000,87.577500
3900,H5,1971,43.500000,125.666670
5000,H6,1912,33.716670,74.833330
3200,L6,1863,24.333330,90.166670
3700,LL5,1794,43.116670,11.600000
1710,H5,1995,20.933330,-101.383330
1222,H5,1920,49.983330,7.533330
1455,L6,1916,30.900000,32.483330
8400,H5,1901,26.216670,69.550000
2000,H6,1956,39.300000,9.200000
1600,H5,1875,20.916670,82.583330
40000,H6,1989,39.824670,36.135830
630,L5,1989,32.433330,119.866670
850,L6,1848,59.733330,10.866670
1708,H5,1868,45.683330,15.600000
2750,L4,1818,55.000000,35.000000
54,H5,1860,47.366670,1.733330
1066,L6,2011,54.008830,22.005000
17100,H5,1866,35.166670,135.333330
36900,L6,1993,45.250000,125.000000
360,L6,1883,44.750000,0.050000
5500,L6,1841,46.950000,-1.500000
700,L6,1855,51.050000,3.750000
4000,H6,1890,48.016670,-1.150000
1000,H4,1950,38.700000,-90.233330
8300,LL6,1866,48.450000,3.933330
17000,L6,1910,61.650000,27.200000
134.30000000000001,L6,1959,43.433330,2.950000
34000,H5,1876,59.933330,14.950000
1500,L6,1857,45.050000,41.983330
4960,H4,1962,50.766670,3.000000
50,L6,1974,41.200000,-73.133330
13400,L6,1917,56.583330,-3.250000
25400,H5,1994,45.968610,-72.978060
3500,L6,1924,36.483330,-90.666670
815.3,L6,1969,50.538060,16.263330
260000,L6,1986,31.616670,113.466670
110000,LL6,2008,12.666670,78.033330
637,H5,1935,44.866670,133.166670
7235,H6,1865,26.716670,84.216670
5560,H4,1954,33.188360,-86.294500
7540,H5,1753,49.400000,14.650000
9000,L5,1867,36.183330,5.416670
720,H5,1880,35.383330,134.900000
10500,L6,1975,-7.750000,112.766670
100000,H5,2008,31.163330,-7.015000
905,L5,1918,35.433330,136.233330
3850,L5,1965,45.400000,122.900000
2500,L6,1967,19.383330,43.733330
6000,L6,1929,35.133330,44.450000
21000,L6,1937,46.716670,23.500000
160000,L6,1879,-25.733330,142.950000
28500,L4,1872,58.033330,26.950000
342,H6,1950,33.400000,70.600000
14200,L6,2011,-1.002780,37.150280
2232,H5,1986,32.946670,118.990000
74800,L6,1927,38.200000,-89.683330
3000,L6,1970,14.250000,1.533330
65500,H5,1807,54.500000,35.200000
230,H6,1934,13.633330,79.416670
20000,H6,1869,-7.083330,111.533330
16500,L5,1922,-6.666670,106.583330
600,LL6,1905,47.850000,34.766670
900,H6,1879,20.166670,-105.216670
977,H6,1988,45.066670,7.666670
259.10000000000002,H6,1944,42.066670,-104.166670
1030,H6,1812,43.600000,1.400000
14500,L6,1863,50.783330,4.766670
1250,LL6,1988,52.216670,13.166670
1020,L6,1917,32.166670,-95.100000
13100,L6,1921,9.666670,105.666670
10000,H6,1967,45.466670,105.383330
89.3,L5,1996,45.345830,-92.051670
30000,LL5,1975,21.666670,-103.366670
19860,H4,1884,60.000000,5.616670
40000,H5,1903,-19.816670,-48.783330
4590,H5,1970,11.050000,-69.850000
1000,L6,1989,41.766670,62.516670
3600,H5,1866,13.483330,74.783330
100,LL5,1822,30.333330,76.333330
1700,L5,1966,13.466670,31.216670
113.4,L4,1986,66.138890,124.766670
1269,L6,1963,49.975000,16.375000
9700,L6,1843,52.116670,5.183330
3422,H5,1928,47.116670,7.550000
40,H6,1668,45.416670,11.133330
2799,H6,1944,11.983330,79.750000
1004,L6,1903,44.866670,9.150000
50000,L5,1972,9.316670,-70.628330
2500,L5,2010,-20.850010,-41.733560
1932,LL6,1876,46.150000,32.833330
10800,H5,1950,56.133330,77.266670
8000,H5,1843,48.416670,43.200000
1500,H6,1865,43.500000,-91.166670
3500,L6,2004,42.800000,-4.666670
0.1,L5,1967,54.225000,-111.691670
3600,L6,1873,43.533330,22.633330
594,H6,1915,25.450000,70.000000
20000,L6,1831,46.633330,0.166670
28100,L6,1946,34.333330,-98.300000
4000,H5,2006,32.797320,21.787130
3750,H5,1831,48.950000,17.383330
150000,H4,1807,41.266667,-73.266667
350,L6,1971,41.700000,-72.650000
2756,L6,1982,41.710560,-72.673610
2138.7399999999998,H5,2009,31.961850,-110.434183
150000,H5,1967,-26.592780,120.328330
22,H5,1918,-26.000000,30.000000
2200,L5,1880,-32.500000,23.000000
25000,L6,1795,54.136670,-0.413330
36000,L6,1960,-27.750000,115.833330
1551,L5,1997,42.384670,-83.611500
50000,H6,1986,36.750000,114.250000
75500,H6,1977,32.333330,114.316670
5700,H5,2000,13.711110,45.170000
4,H5,1951,1.000000,22.500000
20000,H5,1954,21.833330,111.833330
3500,H6,1990,24.566670,114.166670
13600,H5,1852,14.300000,79.766670
250,L5,1869,41.283330,-73.816670
4800,LL6,1931,28.716670,116.616670
3867,L6,1818,50.283330,27.683330
3000,L6,1893,55.183330,27.916670
463,H5,1963,47.500000,83.000000
14250,H5,1984,32.300000,112.750000
800,L6,1952,47.133330,43.900000
95000,L6,1897,44.400000,19.116670
2000,H5,1824,49.883330,13.916670
44100,L6,1933,55.300000,25.000000
42000,L4,1984,45.816670,125.916670
