continent,total_cases
Africa,82221
Africa,83199
Africa,84152
Africa,85084
Africa,85927
Africa,86730
Africa,87502
Africa,88252
Africa,88825
Africa,89416
Africa,90014
Africa,90579
Africa,91121
Africa,91638
Africa,92102
Africa,92597
Africa,93065
Africa,93507
Africa,93933
Africa,94371
Africa,94781
Africa,95203
Africa,95659
Africa,96069
Africa,96549
Africa,97007
Africa,97441
Africa,97857
Africa,98249
Africa,98631
Africa,98988
Africa,99311
Africa,99610
Africa,99897
Africa,100159
Africa,100408
Africa,100645
Africa,100873
Africa,101120
Africa,101382
Africa,101657
Africa,101913
Africa,102144
Africa,102369
Africa,102641
Africa,102860
Africa,103127
Africa,103381
Africa,103611
Africa,103833
Africa,104092
Africa,104341
Africa,104606
Africa,104852
Africa,105124
Africa,105369
Africa,105596
Africa,105854
Africa,106097
Africa,106359
Africa,106610
Africa,106887
Africa,107122
Africa,107339
Africa,107578
Africa,107841
Africa,108116
Africa,108381
Africa,108629
Africa,108629
Africa,109088
Africa,109313
Africa,109559
Africa,109782
Africa,110049
Africa,110303
Africa,110513
Africa,110711
Africa,110894
Africa,111069
Africa,111247
Africa,111418
Africa,111600
Africa,111764
Africa,111917
Africa,112094
Africa,112279
Africa,112461
Africa,112622
Africa,112805
Africa,112960
Africa,113092
Africa,113255
Africa,113430
Africa,113593
Africa,113761
Africa,113948
Africa,114104
Africa,114234
Africa,114382
Africa,114543
Africa,114681
Africa,114851
Africa,115008
Africa,115143
Africa,115265
Africa,115410
Africa,115540
Africa,115688
Africa,115842
Africa,115970
Africa,116066
Africa,116157
Africa,116255
Africa,116349
Africa,116438
Africa,116543
Africa,116657
Africa,116750
Africa,116836
Africa,116946
Africa,117061
Africa,117192
Africa,117304
Africa,117429
Africa,117524
Africa,117622
Africa,117739
Africa,117879
Africa,118004
Africa,118116
Africa,118251
Africa,118378
Africa,118516
Africa,118645
Africa,118799
Africa,118975
Africa,119142
Africa,119323
Africa,119486
Africa,119642
Africa,119805
Africa,119992
Africa,120174
Africa,120363
Africa,120562
Africa,120736
Africa,120922
Africa,121112
Africa,121344
Africa,121580
Africa,121866
Africa,122108
Africa,122311
Africa,122522
Africa,122717
Africa,122999
Africa,123272
Africa,123473
Africa,123692
Africa,123900
Africa,124104
Africa,124288
Africa,124483
Africa,124682
Africa,124889
Africa,125059
Africa,125194
Africa,125311
Africa,125485
Africa,125693
Africa,125896
Africa,126156
Africa,126434
Africa,126651
Africa,126860
Africa,127107
Africa,127361
Africa,127646
Africa,127926
Africa,128198
Africa,128456
Africa,128725
Africa,128913
Africa,129218
Africa,129640
Africa,129976
Africa,130361
Africa,130681
Africa,130958
Africa,131283
Africa,131647
Africa,132034
Africa,132355
Africa,132727
Africa,133070
Africa,133388
Africa,133742
Africa,134115
Africa,134458
Africa,134840
Africa,135219
Africa,135586
Africa,135821
Africa,136294
Africa,136679
Africa,137049
Africa,137403
Africa,137772
Africa,138113
Africa,138465
Africa,138840
Africa,139229
Africa,139626
Africa,140075
Africa,140550
Africa,141007
Africa,141471
Africa,141966
Africa,142447
Africa,143032
Africa,143652
Africa,144483
Africa,145296
Africa,146064
Africa,146942
Africa,147883
Africa,148797
Africa,149906
Africa,151103
Africa,152210
Africa,153309
Africa,154486
Africa,155784
Africa,157005
Africa,158213
Africa,159563
Africa,160868
Africa,162155
Africa,163660
Africa,165204
Africa,167131
Africa,168668
Africa,170189
Africa,171392
Africa,172564
Africa,173922
Africa,175229
Africa,176724
Africa,178013
Africa,179216
Africa,180356
Africa,181376
Africa,182368
Africa,183347
Africa,184191
Africa,185042
Africa,185902
Africa,186655
Africa,187258
Africa,187968
Africa,188663
Africa,189384
Africa,190078
Africa,190656
Africa,191171
Africa,191583
Africa,192089
Africa,192626
Africa,193171
Africa,193674
Africa,194186
